 	Area	Mean	Min	Max	X	Y	Perim.	
262	5	73.400	72	75	424.700	443.900	7.657	
263	6	76.333	72	83	496.333	445.333	8.485	
264	6	73.167	70	78	404.333	446.333	8.485	
265	44	79.477	70	115	415.250	448.841	36.870	
266	110	74.591	69	89	472.327	451.473	72.326	
267	808	83.631	69	135	233.427	469.972	183.522	
268	4	81.750	70	89	574	449.500	7.071	
269	8	76.500	72	85	429	450.750	11.314	
270	7	77	72	85	387.786	451.357	9.071	
271	43	71.605	70	78	448.337	454.895	29.213	
272	13	78.538	70	94	455.962	454.115	12.485	
273	4	74.750	72	78	433	456	5.657	
274	5	74.600	70	79	507.700	456.900	7.657	
275	7	72.714	70	78	445.929	459.500	10.485	
276	7	75.286	72	80	417.500	461.786	8.485	
277	11	73.091	70	80	455.318	462.864	13.899	
278	9	74.444	70	83	460.167	463.944	11.314	
279	16	77.125	70	91	493.188	464.250	14.728	
280	7	73.143	70	79	504.643	464.071	9.899	
281	11	75.636	70	84	423.136	465.500	12.728	
282	66	73.242	70	84	465.364	469.742	52.426	
283	4	74.500	72	78	367	466	5.657	
284	5	75.400	70	85	374.300	468.100	7.657	
285	5	82	78	85	315.900	469.700	7.071	
286	17	104.529	70	169	357.912	470.382	13.899	
287	16	72.813	70	77	442.813	471	15.314	
288	7	78.714	74	88	474.500	469.500	8.485	
289	5	80.800	70	91	772.900	470.700	7.071	
290	7	88.429	70	112	337.500	471.214	9.071	
291	8	73.875	72	81	516.375	471.375	9.071	
292	5	75.200	70	81	525.700	472.300	8.485	
293	6	74	70	84	482.333	475.333	8.485	
294	60	87.017	70	129	124.783	481.067	34.971	
295	11	85.727	70	112	447.955	476.955	11.899	
296	5	92.600	73	111	837.300	476.900	9.071	
297	4	71.250	70	73	458.750	477	8.485	
298	18	77.889	70	88	476.778	480.222	16.971	
299	9	74.778	70	83	138.167	479.944	11.314	
300	19	79.684	70	98	278.816	481.500	17.071	
301	16	76.188	70	89	456.938	482.188	15.314	
302	7	76.286	70	86	484.214	482.500	9.071	
303	34	77.382	70	100	216.324	491.118	30.385	
304	10	90.600	74	114	573	488.500	10.485	
305	23	76.478	70	91	122.109	493.717	23.556	
306	26	76.423	70	89	130.577	495.231	22.971	
307	6	74.833	72	80	251	494	9.657	
308	45	102.978	70	171	836.544	501.567	38.728	
309	5	74.600	72	77	516.700	494.900	7.657	
310	4	74.750	70	78	211	496	5.657	
311	10	89.700	72	120	541.300	497.400	11.071	
312	5	74	70	77	214.700	498.300	8.485	
313	4	74.750	70	81	223.500	499	7.657	
314	5	75.800	72	79	219.900	500.700	7.071	
315	5	72	70	74	207.300	501.300	8.485	
316	4	74	70	78	245.500	501	7.657	
317	18	73.556	70	79	474.167	504.056	16.142	
318	4	82.250	78	87	550	502	5.657	
319	42	85.357	70	111	320.381	511.524	26.385	
320	9	77.778	70	84	547.833	511.611	10.485	
321	4	75	72	78	206	512	5.657	
322	11	87.182	72	109	353.409	515.864	11.071	
323	84	101.310	70	191	467.810	523.667	46.770	
324	20	97.900	70	164	333.100	519.850	20.142	
325	6	72.500	70	78	625.667	522.333	11.071	
326	28	75.071	70	85	425.964	525.214	24.142	
327	4	78	72	86	603.500	524	7.657	
328	4	76.750	70	85	194	526.500	7.071	
329	274	91.518	69	146	567.682	538.106	73.841	
330	222	120.590	70	255	801.631	534.559	67.012	
331	5	72.200	70	75	257.700	532.100	9.899	
332	22	83.045	70	107	243.136	533.773	16.728	
333	6	82.500	73	98	418.333	541.333	8.485	
334	6	74.667	70	79	434.333	541.167	9.657	
335	5	70	70	70	535.700	541.100	7.657	
336	4	72.750	70	77	580	543	5.657	
337	5	72.600	70	74	798.900	545.700	7.071	
338	5	79	70	92	159.300	546.500	8.485	
339	10	79.400	70	94	212.200	547.500	11.899	
340	94	104.713	70	235	299.319	551.681	42.870	
341	5	82.200	77	89	688.100	548.300	7.657	
342	8	82	70	100	478.375	555	10.485	
343	42	75.429	70	85	173.833	558.310	30.627	
344	5	76	70	81	582.700	554.900	7.657	
345	7	75.429	70	85	344.214	558.357	10.485	
346	6	89	75	99	536.667	561.667	8.485	
347	11	92.091	72	130	202.136	562.955	11.314	
348	14	80.429	72	99	167.786	564.357	15.314	
349	7	78.429	70	88	176.357	566.786	9.071	
350	33	87.667	70	119	451.076	570.258	20.142	
351	28	74.571	70	83	263.250	572.429	21.556	
352	4	80	73	88	298.750	576.500	7.071	
353	15	77.067	70	87	266.967	582.900	16.728	
354	23	85.739	70	130	303.804	587.022	22.385	
355	5	80.600	70	89	604.900	586.700	7.071	
356	7	80.714	75	89	265.500	587.500	8.485	
357	138	90.348	69	255	582.406	592.812	51.941	
358	56	117.500	70	192	295.482	595.232	26.971	
359	67	114.881	70	246	696.082	595.978	34.042	
360	6	74.167	70	80	262.667	593.333	8.485	
361	6	77.167	72	86	482.167	593.833	9.071	
362	28	108.679	70	193	609.786	596.393	19.556	
363	11	118.545	75	198	837.136	596.318	15.071	
364	9	81.333	70	95	452.611	595.833	10.485	
365	10	85.300	72	107	212.300	597	10.485	
366	20	76.850	70	87	593.850	600.800	15.899	
367	6	77.167	72	91	517.333	601.333	8.485	
368	8	81.875	73	95	212.250	602.375	10.485	
369	40	86	70	145	621.525	607.850	33.456	
370	7	91	72	114	514.214	605.500	9.071	
371	52	100.654	70	159	545.115	608	26.971	
372	14	76.214	70	83	144	607.857	15.314	
373	4	75	72	78	605	607	5.657	
374	10	77	70	86	563.500	611.200	13.314	
375	4	75.500	73	79	614.750	610.500	7.071	
376	7	79.429	70	91	133.643	614.214	9.071	
377	15	77.267	70	87	252.100	615.433	13.314	
378	17	78.529	72	101	127.206	618.441	20.142	
379	7	84.857	74	101	133.500	618.500	8.485	
380	5	75.600	70	86	553.100	618.300	7.657	
381	39	129.974	70	255	552.244	625.295	22.971	
382	30	96.100	70	139	442.767	627.100	23.556	
383	8	79	70	93	593.375	625.375	9.071	
384	14	81.357	70	97	260.857	628.500	13.314	
385	4	77	73	84	562	628	5.657	
386	7	74.143	70	79	684.071	632.357	11.071	
387	4	84.500	79	91	126	634	5.657	
388	28	88.321	72	120	740.714	638	18.142	
389	10	79.100	70	87	282.800	639.800	11.314	
390	23	124.565	72	243	604.630	640.500	18.142	
391	25	93.080	70	136	535.420	643.620	18.728	
392	5	79	70	86	648.700	641.900	7.657	
393	5	72.800	70	77	202.300	643.500	8.485	
394	27	76.926	70	89	699.722	644.648	26.385	
395	4	71.500	70	74	208	645	5.657	
396	5	76	72	80	279.700	644.900	7.657	
397	111	127.387	70	255	491.833	651.878	38.627	
398	6	77.167	70	89	632.333	650.167	9.071	
399	6	73.500	70	79	604.333	651.333	8.485	
400	8	75.250	70	84	733.750	655.500	10.485	
401	25	75	70	81	662.300	659.020	22.142	
402	8	74.250	70	80	112.625	659.625	9.071	
403	4	77	72	84	464.750	660.500	7.071	
404	16	78.750	70	88	821.125	661.938	13.899	
405	8	89.125	74	112	336.375	663.625	9.071	
406	5	76.400	70	80	560.100	667.300	7.657	
407	9	84.222	73	99	117.389	669.833	10.485	
408	179	80.313	70	119	553.439	679.746	93.640	
409	5	75.600	70	86	287.300	670.100	7.657	
410	30	77.133	70	89	659.567	672.133	21.314	
411	6	79.667	72	87	287.500	675	7.657	
412	20	95.750	70	145	657.300	680.050	16.142	
413	7	78.857	72	88	717.500	679.214	9.071	
414	8	91.375	73	121	291.375	680.625	9.071	
415	6	73.333	70	83	539.333	684.333	8.485	
416	8	73.250	70	78	560.625	684.375	9.071	
417	4	75	70	86	757	684	5.657	
418	52	112.231	70	223	678.827	688.231	26.385	
419	19	97.842	72	146	705.342	686.500	15.314	
420	17	87.059	70	118	299.912	690.382	13.899	
421	4	75.500	72	84	258.750	690.500	7.071	
422	5	75.600	70	88	572.300	690.500	8.485	
423	21	78.857	70	91	588.500	691.024	17.314	
424	10	76.800	70	86	543	691.500	10.485	
425	8	80.125	70	95	551	694.375	10.485	
426	99	88.929	70	137	709.500	700.096	38.627	
427	5	82.400	75	91	680.700	696.900	7.657	
428	43	99.233	70	181	304.221	700.407	26.385	
429	8	88	74	110	263.625	706.375	9.071	
430	53	120.170	70	241	664.085	708.500	26.385	
431	15	86.200	70	114	416.300	710.433	15.314	
432	39	108.051	70	186	613.474	725.269	23.556	
433	18	117.833	72	189	742.944	725.611	15.899	
434	57	89.965	70	152	679.553	732.675	30.385	
435	67	118.597	70	240	755.978	733.649	30.385	
436	50	107.560	70	205	783.080	733.180	26.142	
437	4	76	72	80	360.500	732	7.657	
438	7	80.429	73	94	263.500	733.214	9.071	
439	130	110.292	70	235	324.277	739.923	46.284	
440	12	72.750	70	78	361.750	737.250	19.314	
441	9	81.889	73	87	367.167	736.722	11.899	
442	5	74.200	72	80	338.300	736.900	7.657	
443	26	78.308	70	92	30.500	740.962	25.799	
444	29	113.862	70	230	395.638	740.086	18.728	
445	41	112.195	69	226	345.500	741.768	25.556	
446	4	74	70	86	634	741.500	7.071	
447	4	77.500	73	79	38	743	5.657	
448	31	118.097	73	221	801.306	744.855	20.142	
449	13	75.308	70	86	685.731	745.423	16.728	
450	16	77.563	70	92	691.625	745.438	14.142	
451	18	81.944	70	99	352.222	746.833	17.556	
452	35	118.971	70	250	359.443	747.186	21.556	
453	43	106.907	70	185	387.756	748.640	24.385	
454	21	88.667	70	121	821.214	750.405	17.314	
455	4	83	78	88	374	750	5.657	
456	21	111.238	74	173	398.929	752.214	16.485	
457	4	85.250	72	101	351	753.500	8.828	
Statistics for red channel puncta:
Number: 53
Avg. Area: 17.6 (17.566037735849058)
Avg. Min: 67.4 (67.41509433962264)
Avg. Max: 125.2 (125.16981132075472)
Avg. Mean: 91.7 (91.74616658912515)
Statistics for green channel puncta:
Number: 457
Avg. Area: 29.7 (29.678336980306344)
Avg. Min: 70.7 (70.74617067833698)
Avg. Max: 102.1 (102.10722100656456)
Avg. Mean: 81.0 (80.99939312089715)
Statistics for colocalized puncta:
Number: 47
Avg. Area: 144.0 (144.0212765957447)
Avg. Min: 68.7 (68.69148936170212)
Avg. Max: 149.9 (149.90425531914894)
Avg. Mean: 94.5 (94.50137556360123)
